Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
95.0	0.1	445.7625019047288	0.0022433470642484105	-57.36788443122947	-57.143549724804046	-0.5539637310014206	2.141382130878278	3.383827044240873	1499.6898740311822	-0.4720446724201607	0.00017976969599939113	0.20605388916692202	liquid
96.28140703517587	0.1	444.0265176639783	0.0022521177457170707	-53.02906933894275	-52.80385756437042	-0.5085881876363426	2.1340414664395637	3.3895513921565557	1487.7309821674571	-0.46873637824509923	0.0001730319114732891	0.20444784978948222	liquid
97.56281407035176	0.1	442.2813360034542	0.002261004294316842	-48.682723957878856	-48.45662352844574	-0.4637347604551265	2.1268977688014594	3.395594800497752	1475.687651450795	-0.465279738359287	0.00016671919547270352	0.20281881061293683	liquid
98.84422110552764	0.1	440.52660236893485	0.002270010470701413	-44.32845198028424	-44.10145093321468	-0.4193857833814934	2.1199260293518893	3.4019392226090353	1463.5629843606728	-0.4616735346739632	0.0001607939660737132	0.20116844415242485	liquid
100.12562814070351	0.1	438.76195320582093	0.002279140186822227	-39.9658767993694	-39.73796278068696	-0.3755244709795248	2.1131053697295386	3.408571859122452	1451.3595241146315	-0.4579154303283632	0.0001552227061475683	0.19949831631908563	liquid
101.4070351758794	0.1	436.9870145122829	0.002288397519354415	-35.594635224530755	-35.36579547259546	-0.33213481125886846	2.1064184198807245	3.4154844944348053	1439.0793046745664	-0.45400206411412014	0.00014997545242367166	0.19780989240725488	liquid
102.68844221105527	0.1	435.2014004020441	0.0022977867237471855	-31.21437197460591	-30.98459330223055	-0.2892014728363431	2.099850790401598	3.422672943181685	1426.7238938845246	-0.44992912529034335	0.00014502535525924662	0.19610454261979596	liquid
103.96984924623115	0.1	433.4047116585022	0.002307312249036974	-26.824734818407002	-26.594003593503693	-0.24670972411986647	2.093390624795156	3.4301365912502795	1414.2944304489154	-0.4456914109680085	0.0001403482986436744	0.19438354716307638	liquid
105.25125628140704	0.1	431.5965342626807	0.002316978753567503	-22.42537024992704	-22.193672374571005	-0.20464536255407373	2.087028219558794	3.4378780184699247	1401.7916553822022	-0.44128286788023247	0.0001359225715969389	0.19264810093979537	liquid
106.53266331658291	0.1	429.77643787787844	0.002326791121769573	-18.01591960059878	-17.78324048842228	-0.16299465227487064	2.0807557019273055	3.4459026923142773	1389.2159384849108	-0.4366966200250647	0.00013172858348778636	0.1908993178647794	liquid
107.8140703517588	0.1	427.9439742739285	0.0023367544821647525	-13.596015503474094	-13.362340055257846	-0.12174426877486405	2.074566756695118	3.4542187238147752	1376.5673003288343	-0.43192498336716234	0.00012774861694297849	0.18913823482602335	liquid
109.09547738693468	0.1	426.0986756736426	0.00234687422677164	-9.165278634357088	-8.930591211678896	-0.08088124939122146	2.0684563948814927	3.4628366784828257	1363.8454301662293	-0.4269594685096742	0.00012396661298115716	0.18736581531058705	liquid
110.37688442211055	0.1	424.2400530033773	0.0023571560321109975	-4.723314663341996	-4.487599060131208	-0.04039294860106954	2.062420758130211	3.4717694364221714	1351.0497001148105	-0.42179077199316073	0.00012036798381407352	0.18558295271245093	liquid
111.65829145728644	0.1	1.791899401767153	0.5580670427222701	455.089108075171	510.895812347398	4.5817415177666465	1.6141427742957952	2.2154184395043934	271.5385771683048	29.702236561251368	4.2479792396697155e-06	0.011485089414632867	vapor
112.93969849246231	0.1	1.7692406540641858	0.5652142334073459	457.20785015421853	513.729273494953	4.606973283568865	1.6098953940424479	2.2071680855553524	273.3246503733419	28.841735253410445	4.308902973309722e-06	0.011621886506417557	vapor
114.2211055276382	0.1	1.7472190954692273	0.5723380671566226	459.3189462155381	516.5527529312005	4.631832486388826	1.606178851882535	2.199807391219825	275.0908461667077	28.03935059258688	4.369319487146673e-06	0.011760480502800978	vapor
115.50251256281408	0.1	1.7258026748832864	0.5794405203756151	461.42322804465823	519.3672800822197	4.656336403473457	1.6028869562267158	2.19317209906341	276.8384710541251	27.286358308705164	4.42926427227995e-06	0.011900619805063187	vapor
116.78391959798995	0.1	1.7049622069570751	0.5865232648087527	463.52137608166106	522.1737025625363	4.680500174278678	1.5999416503741548	2.1871402096500105	278.5686084223821	26.57614258227441	4.488767098064268e-06	0.012042093118020849	vapor
118.06532663316582	0.1	1.68467091361959	0.5935877398461493	465.61395785122124	524.9727318358362	4.704337282786917	1.5972846770329792	2.181619511409744	280.2821747429319	25.9036016715769	4.547853436612629e-06	0.012184722162969374	vapor
119.34673366834171	0.1	1.6649040772428199	0.6006352039548485	467.7014551500172	527.764975545502	4.727859901449274	1.5948718246778308	2.1765389946271996	281.979959624321	25.264726724260402	4.6065454486683865e-06	0.012328355837140164	vapor
120.62814070351759	0.1	1.6456387720108572	0.6076667717168993	469.7842834711805	530.5509606428707	4.751079140037011	1.592668937539268	2.171842906390757	283.66265456382877	24.65630331748544	4.6648626788919735e-06	0.012472865508112163	vapor
121.90954773869348	0.1	1.626853650994275	0.6146834408791692	471.8628060382227	533.3311501261396	4.774005228636876	1.5906491350016998	2.1674866096306316	285.3308737693011	24.07569977034378	4.72282255649093e-06	0.012618141204466199	vapor
