Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Thermal Expansion Coefficient (l, 1/K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Thermal Expansion Coefficient (v, 1/K)
91.0	0.012164065070253121	451.06821352089645	0.0022169595862105086	-70.81593474637704	-70.78896750571174	-0.6986025665041184	2.165700976466211	3.3688129573055443	1535.8318629597236	-0.4812556800746193	0.00020381846774439859	0.21082110095997547	0.01700205727725839	0.002952758031708612	0.25995907717462485	3.8467593086901912	426.2489609938235	473.04119153428456	5.277553027342002	1.573922049025043	2.1109571890247794	249.51198546605377	47.51442307535393	3.36815760420557e-06	0.008828181729853474	0.011275539920618761
91.49748743718592	0.012957652978855965	450.40554604702396	0.0022202213289256355	-69.14008517793523	-69.11131632041844	-0.6802363486539422	2.162488596130518	3.37052727445327	1531.3145245789779	-0.48016994706992416	0.0002005057688922636	0.21023396303873884	0.01690328571005326	0.0029623982584368325	0.2755169106464952	3.6295412780780643	426.9823329347625	474.0126692884863	5.255707914097163	1.5746060122728314	2.1124905571672046	250.1340505500058	46.866232534268015	3.390384539035498e-06	0.008888145192362924	0.011227383783990352
91.99497487437186	0.013792820975519069	449.7417141908738	0.002223498440208267	-67.46339880902761	-67.43273049310432	-0.661960568916239	2.1593276029055724	3.372308737178201	1526.782156554895	-0.47906080377245586	0.00019728521749720333	0.20964230371371478	0.016804512697200964	0.0029721607216056634	0.29180256755805045	3.4269746437411404	427.71419844451935	474.98184619324195	5.234172099493797	1.5753052497934024	2.1140670575322837	250.75194414427705	46.233512618187994	3.412553334200154e-06	0.008948261187653524	0.011180186766033499
92.49246231155779	0.014671162013999029	449.0767002364514	0.002226791101550074	-65.78584466977425	-65.75317505675321	-0.6437739142236427	2.1562150481147517	3.374154466131973	1522.235130023434	-0.47792853563738114	0.00019415324842614418	0.20904625224472947	0.01670574046151905	0.00298204625860383	0.30883962150778865	3.237926517063747	428.444522832497	475.9486673537234	5.212939474871469	1.576019781503916	2.115687252639121	251.36563189909447	45.61576830884497	3.434664177429142e-06	0.009008533237404026	0.011133941993741065
92.98994974874371	0.015594303476162984	448.41048649567404	0.0022300994961446945	-64.10739323465663	-64.07261638633244	-0.6256751081305888	2.1531481737600746	3.3760618056934706	1517.6737969734656	-0.4767733872570247	0.00019110646532313928	0.20844593480722526	0.016606971208056553	0.002992055782179994	0.32665200528784893	3.0613618891419025	429.17327122754443	476.91307757714577	5.1920040649973265	1.5767496219547081	2.117351704000711	251.97507933879115	45.01252548519118	3.456717278553989e-06	0.00906896490366455	0.011088642793956372
93.48743718592965	0.01656390703829646	447.7430552951545	0.002233423808976322	-62.42801631640676	-62.39102209205684	-0.6076629088907209	2.1501244007156997	3.3780283108623537	1513.098491088831	-0.47559556438218226	0.00018814163144348229	0.2078414745699252	0.016508207124308213	0.003002190278931211	0.3452640067488209	2.896334342570202	429.9004085844763	477.87502138660005	5.171360024470544	1.5774947806374318	2.119060972719443	252.58025188747789	44.42332986461839	3.4787128698917383e-06	0.00912955978930696	0.011044282691197014
93.98492462311557	0.017581668517454945	447.074388963492	0.0022367642269073475	-60.74768696624577	-60.70836091905453	-0.5897361076529425	2.147141317664892	3.3800517349863295	1508.509528552025	-0.4743952358192006	0.00018525566103207372	0.20723299177018936	0.016409450380429427	0.0030124508079585055	0.36470026468004807	2.741977719367166	430.62589969009645	478.8344430342246	5.151001634244245	1.578255262300871	2.1208156201084254	253.18111489387655	43.8477459994447	3.5006512066164e-06	0.009190321538446709	0.01100085540581262
94.48241206030151	0.01864931769847092	446.40446981903153	0.0022401209387652218	-59.06637938006773	-59.02460265299524	-0.5718935267681466	2.144196670732148	3.382130018269047	1503.9072088108935	-0.47317253520891994	0.00018244561121158654	0.2066206037871395	0.01631070312945206	0.003022838499681746	0.38498576472114676	2.597498639266106	431.3497091687222	479.79128651371127	5.130923298259781	1.5790310672728143	2.1226162083364373	253.77763365530723	43.285356326021045	3.5225325671186683e-06	0.009251253836846534	0.010958354852457474
94.97989949748744	0.019768618142246272	445.7332801580544	0.002243494135428716	-57.38406881019181	-57.339718031323315	-0.5541340181991176	2.1412883537653373	3.3842612770086973	1499.2918153096462	-0.47192756269340286	0.0001797086743482562	0.2060044252126197	0.016211967507501174	0.0030333545548064168	0.4061458353201071	2.462169775080525	432.0718014872029	480.7454955721215	5.11111954018857	1.5798221917864297	2.1244633010943996	254.36977344081885	42.73576026392664	3.544357253354358e-06	0.00931236041229861	0.010916775138859401
95.47738693467336	0.02094136697597854	445.0608022433707	0.002246884009913716	-55.700731482341496	-55.65367865973639	-0.5364564620267599	2.138414399226036	3.386443793521397	1494.663616185556	-0.4706603864760411	0.00017704217086529276	0.20538456792006726	0.01611324563401263	0.003044000243435696	0.42820614375301097	2.3353238027728986	432.7921409594311	481.6970137210092	5.09158500027685	1.5806286283096542	2.126357464281329	254.95749951346127	42.19857336283687	3.566125591181984e-06	0.009373645034993074	0.010876110564867512
